Indicador;Localidad;Ano;Valor
Número de homicidios CICRI;ANTONIO NARIÑO;2008;21
Número de hurtos a personas;ANTONIO NARIÑO;2008;388
Número de hurtos a vehículos;ANTONIO NARIÑO;2008;103
Número de hurto a establecimientos de comercio;ANTONIO NARIÑO;2008;124
Número de hurtos a residencias;ANTONIO NARIÑO;2008;80
Número de lesiones comunes;ANTONIO NARIÑO;2008;193
Número de homicidios CICRI;BARRIOS UNIDOS;2008;28
Número de hurtos a personas;BARRIOS UNIDOS;2008;745
Número de hurtos a vehículos;BARRIOS UNIDOS;2008;139
Número de hurto a establecimientos de comercio;BARRIOS UNIDOS;2008;302
Número de hurtos a residencias;BARRIOS UNIDOS;2008;202
Número de lesiones comunes;BARRIOS UNIDOS;2008;248
Número de homicidios CICRI;BOSA;2008;89
Número de hurtos a personas;BOSA;2008;712
Número de hurtos a vehículos;BOSA;2008;93
Número de hurto a establecimientos de comercio;BOSA;2008;162
Número de hurtos a residencias;BOSA;2008;260
Número de lesiones comunes;BOSA;2008;877
Número de homicidios CICRI;CHAPINERO;2008;30
Número de hurtos a personas;CHAPINERO;2008;1801
Número de hurtos a vehículos;CHAPINERO;2008;61
Número de hurto a establecimientos de comercio;CHAPINERO;2008;559
Número de hurtos a residencias;CHAPINERO;2008;516
Número de lesiones comunes;CHAPINERO;2008;310
Número de homicidios CICRI;CIUDAD BOLÍVAR;2008;217
Número de hurtos a personas;CIUDAD BOLÍVAR;2008;660
Número de hurtos a vehículos;CIUDAD BOLÍVAR;2008;58
Número de hurto a establecimientos de comercio;CIUDAD BOLÍVAR;2008;196
Número de hurtos a residencias;CIUDAD BOLÍVAR;2008;377
Número de lesiones comunes;CIUDAD BOLÍVAR;2008;1818
Número de homicidios CICRI;ENGATIVÁ;2008;104
Número de hurtos a personas;ENGATIVÁ;2008;1208
Número de hurtos a vehículos;ENGATIVÁ;2008;389
Número de hurto a establecimientos de comercio;ENGATIVÁ;2008;244
Número de hurtos a residencias;ENGATIVÁ;2008;431
Número de lesiones comunes;ENGATIVÁ;2008;769
Número de homicidios CICRI;FONTIBÓN;2008;44
